			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	__		0	0	1	2	1	0	0	0	0	0
	_I		0	1	1	1	0	1	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
II	II		0	0	0	0	0	2	0	0	0	0
	Ii		0	1	0	0	0	1	0	0	0	0
	iI		1	1	0	0	0	1	0	0	0	0
	ii		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_I		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
IE	IE		0	0	0	0	0	2	0	0	0	0
	Ie		0	1	0	0	0	1	0	0	0	0
	iE		1	1	0	0	0	1	0	0	0	0
	ie		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_E		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_e		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
Io	Io		0	0	0	0	0	1	0	0	0	0
	IO		0	1	0	0	0	1	0	0	1	1
	io		1	1	0	0	0	0	0	0	0	0
	iO		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
Ia	Ia		0	0	0	0	0	1	0	0	0	0
	IA		0	1	0	0	0	1	0	0	1	1
	ia		1	1	0	0	0	0	0	0	0	0
	iA		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_A		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
Iu	Iu		0	0	0	0	0	1	0	0	0	0
	Iy		0	1	0	0	0	1	0	0	1	1
	iu		1	1	0	0	0	0	0	0	0	0
	iy		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
