			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	a__		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	_Eo		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	_E_		0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
	a_O		0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	_EO		0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1
	__O		0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0
	ae_		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	_eo		0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0
	_e_		0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	_eO		0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
	AE_		1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0
	A_o		1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
	A__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	A_O		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	Ae_		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	aEi		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aEe		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	aii		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	aie		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	aei		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	iEo		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	iEi		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iEe		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieo		1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iei		1	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eEo		1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eEi		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eEe		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eio		1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	aiO		0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
	iEO		1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1
	iiO		1	3	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	ieO		1	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	eEO		1	2	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1
	AEi		1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0
	AEe		1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1
	Aio		1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
	Aii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	Aei		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	AiO		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	ai_		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	iE_		1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		1	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	ie_		1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	eE_		1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	a_e		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
	i__		1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_Ei		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_Ee		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
	_ei		0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_i_		0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
	i_O		1	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
	_iO		0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0
	Ai_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
aEa	aEa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aEA		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	aea		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	aeA		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	AEa		1	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0
	AEA		1	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
	Aea		1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	AeA		1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aE_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	a__		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	_Ea		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	_E_		0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
	a_A		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	_EA		0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1
	__A		0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	_ea		0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0
	_eA		0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	AE_		1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0
	A_a		1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
	A__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	A_A		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	aEi		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aEe		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	aii		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	aie		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	aei		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	iEa		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	iEi		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iEe		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iea		1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iei		1	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eEa		1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eEi		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eEe		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eia		1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	aiA		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	iEA		1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	ieA		1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eEA		1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	AEi		1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0
	AEe		1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1
	Aia		1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
	Aii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	Aei		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ai_		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	iE_		1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		1	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	ie_		1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	eE_		1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	a_e		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
	i__		1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_Ei		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_Ee		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
	_ei		0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_i_		0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
	Ai_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
aEu	aEu	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aEy		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	aeu		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	aey		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	AEu		1	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0
	AEy		1	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
	Aeu		1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	Aey		1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aE_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	a__		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	_Eu		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	_E_		0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
	a_y		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	_Ey		0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1
	__y		0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	_eu		0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0
	_ey		0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	AE_		1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0
	A_u		1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
	A__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	A_y		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	aEi		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aEe		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	aii		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	aie		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	aei		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	iEu		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	iEi		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iEe		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieu		1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iei		1	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eEu		1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eEi		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eEe		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eiu		1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	aiy		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	iEy		1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iey		1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eEy		1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	AEi		1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0
	AEe		1	2	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1
	Aiu		1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
	Aii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	Aei		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ai_		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	iE_		1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		1	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	ie_		1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	eE_		1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	a_e		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
	i__		1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_Ei		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_Ee		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
	_ei		0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_i_		0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
	Ai_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
aoi	aoi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aoI		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	aOi		0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	aOI		0	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
	Aoi		1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	AoI		1	2	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0
	AOi		1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	AOI		1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
	ao_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	a_i		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	a__		0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	_oi		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
	__i		0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0
	a_I		0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
	_oI		0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
	__I		0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0
	aO_		0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1
	_Oi		0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
	_O_		0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
	_OI		0	2	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0
	Ao_		1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
	A_i		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	A__		1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	A_I		1	2	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0
	AO_		1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	aoe		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	aii		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aie		0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	aei		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	aee		0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	ioi		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioe		1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iie		1	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	eoi		1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	eoe		1	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	aiI		0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	aeI		0	2	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1
	ioI		1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
	iiI		1	3	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0
	ieI		1	3	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0
	eoI		1	2	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0
	eiI		1	3	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0
	aOe		0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
	iOi		1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	iOe		1	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	iOI		1	3	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
	Aoe		1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	Aii		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	Aie		1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	AiI		1	3	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0
	AeI		1	3	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0
	AOe		1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	ai_		0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ae_		0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	io_		1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii_		1	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	eo_		1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	a_e		0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
	i_i		1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	i_e		1	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	i__		1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
	_oe		0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_ie		0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
	_i_		0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0
	__e		0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
	i_I		1	2	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0
	e_I		1	2	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0
	_iI		0	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
	_eI		0	2	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0
	iO_		1	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
	_Oe		0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0
	Ai_		1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	A_e		1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
aoE	aoE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aoe		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	aOE		0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1
	aOe		0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	AoE		1	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0
	Aoe		1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	AOE		1	2	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0
	AOe		1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	ao_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	a__		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	_oE		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
	a_e		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	_oe		0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1
	__e		0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	aO_		0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	_OE		0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0
	_O_		0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0
	_Oe		0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
	Ao_		1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
	A_E		1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0
	A__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	A_e		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	AO_		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	aoi		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aii		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	aie		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	aeE		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	aei		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	aee		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	ioE		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioi		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ioe		1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iii		1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iie		1	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ieE		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eoE		1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eoe		1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	eiE		1	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	aOi		0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
	iOE		1	2	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0
	iOi		1	3	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	iOe		1	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	Aoi		1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	AiE		1	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
	Aii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	Aie		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	AeE		1	2	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0
	AOi		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	ai_		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	ae_		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
	io_		1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		1	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	eo_		1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	i_e		1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	i__		1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_oi		0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_ii		0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
	_ie		0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
	_eE		0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0
	_i_		0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
	iO_		1	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
	_Oi		0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0
	Ai_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
aoo	aoo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aoO		0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2
	aOo		0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	aOO		0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1
	Aoo		1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
	AoO		1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	AOo		1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
	AOO		1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
	ao_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	a__		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	_oo		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
	a_O		0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	_oO		0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1
	__O		0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0
	_Oo		0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0
	_OO		0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0
	Ao_		1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
	A__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	A_O		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	aoi		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aoe		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	aii		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	aie		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	aeo		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	aei		0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	ioo		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioi		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ioe		1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieo		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eoo		1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eoe		1	2	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
