			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	AI		0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0
	ai		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aI		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_I		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	Ae		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ie		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iI		0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
	eI		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
	ae		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Ao	Ao	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	AO		0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	ao		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	aO		1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	A_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	a_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	Ai		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	io		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eo		0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iO		0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	ai		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ae		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
yA	yA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ya		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	uA		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	ua		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iA		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ia		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ea		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	ui		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ue		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
